-0.536543,-0.205755,0.818405,116656,2.23,5054,MIZAR;UMA ZETA
-0.851350,-0.430362,0.299986,120136,4.50,5185,BOO TAU
-0.581457,-0.294806,0.758286,120315,1.85,5191,ALKAID;UMA ETA;BENETNASCH
-0.843198,-0.438344,-0.311242,120452,4.96,5196,
-0.854516,-0.442364,0.272243,120477,4.05,5200,BOO UPSILON
-0.832538,-0.455260,0.315626,121370,2.68,5235,MUPHRID;BOO ETA
-0.761087,-0.468092,-0.449039,123123,3.25,5287,HYA PI
-0.516566,-0.340233,0.785749,124675,4.53,5329,BOO KAPPA
-0.783738,-0.527010,0.328657,124897,-0.05,5340,ARCTURUS;BOO ALPHA
-0.574328,-0.388799,0.720405,125162,4.18,5351,BOO LAMBDA
-0.497820,-0.365687,0.786415,126660,4.04,5404,BOO THETA
-0.680262,-0.530672,0.505599,127665,3.57,5429,BOO RHO
-0.618178,-0.483318,0.619887,127762,3.04,5435,SEGINUS;BOO GAMMA
-0.677892,-0.542503,0.496138,128167,4.47,5447,BOO SIGMA
-0.732838,-0.618922,0.282639,129175,5.88,5476,BOO PI
-0.614455,-0.538799,-0.576316,129685,4.92,5489,
-0.669484,-0.587057,0.455143,129988,2.35,5505,BOO EPSILON;PULCHERRIMA
-0.200728,-0.185075,0.962006,131873,2.07,5563,KOCHAB;UMI BETA
-0.533970,-0.543118,0.647995,133208,3.49,5602,NEKKAR;BOO BETA
-0.626131,-0.703497,-0.336232,134967,6.07,5656,
-0.549614,-0.629489,0.549243,135722,3.46,5681,BOO DELTA
-0.498767,-0.618639,0.607057,137391,4.31,5733,ALKALUROPS;BOO MU
-0.199642,-0.239467,0.950157,137422,3.00,5735,PHERKAD;UMI GAMMA
-0.531570,-0.793319,0.296779,140729,6.15,5858,
-0.118180,-0.175304,0.977396,142105,4.29,5903,UMI ZETA
-0.446635,-0.749868,-0.488073,142669,3.87,5928,
-0.106414,-0.221875,0.969251,148048,4.95,6116,UMI ETA
-0.250990,-0.606702,0.754265,149081,6.44,6156,
-0.043974,-0.131365,0.990358,153751,4.21,6322,UMI EPSILON
-0.007201,-0.059107,0.998226,166205,4.35,6789,UMI DELTA
0.196967,-0.563223,0.802486,181276,3.80,7328,CYG KAPPA
0.340583,-0.814974,0.468850,183912,3.05,7417,ALBIREO;CYG BETA
0.236290,-0.572532,0.785095,184006,3.76,7420,CYG IOTA
0.311959,-0.632772,0.708718,186882,2.86,7528,CYG DELTA
0.389463,-0.743676,0.543383,187796,10.50,7564,CYG CHI
0.397684,-0.715183,0.574770,188947,3.89,7615,CYG ETA
0.443786,-0.620856,0.646213,194093,2.23,7796,SADR;CYG GAMMA
0.455649,-0.536182,0.710558,197345,1.25,7924,DENEB;CYG ALPHA
0.550096,-0.620639,0.558751,197989,2.48,7949,CYG EPSILON
0.525699,-0.538829,0.658259,199629,3.94,8028,CYG NU
0.520107,-0.498194,0.693752,200905,3.72,8079,CYG XI
0.644461,-0.575525,0.503428,202109,3.21,8115,CYG ZETA
0.591622,-0.519802,0.616271,202444,3.74,8130,CYG TAU
0.586355,-0.503385,0.634659,202850,4.22,8143,CYG SIGMA
0.581418,-0.484593,-0.653546,203006,4.80,8151,
0.627270,-0.499921,0.597169,204172,5.93,8209,
0.562475,-0.416281,0.714376,205435,3.98,8252,CYG RHO
0.278759,-0.123277,-0.952416,211998,5.28,8515,
0.828759,-0.371099,-0.418860,212271,5.53,8529,
0.902182,-0.200361,-0.381999,218640,4.71,8817,
